player_id,game_id,game_date,matchup,team_abbreviation,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,fg3m,fg3a,avg_points_last5,avg_assists_last5,avg_rebounds_last5,avg_minutes_last5,avg_fg3m_last5,avg_fg3a_last5,avg_fga_last5,fg3_pct_last5
1627827,22500662,2026-01-26,HOU vs. MEM,HOU,16.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,3.0,1.6666666666666667,1.0,1.6666666666666667,15.0,0.3333333333333333,2.3333333333333335,3.0,0.14285714285714285
1627884,22500493,2026-01-03,LAC vs. BOS,LAC,25.0,19.0,2.0,4.0,0.0,1.0,1.0,8.0,9.0,3.0,4.0,19.0,2.0,4.0,25.0,3.0,4.0,9.0,0.75
1627936,22500015,2026-01-19,OKC @ CLE,OKC,7.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,2.0,1.0,7.0,0.0,4.0,5.0,0.0
1628366,22500658,2026-01-26,CLE vs. ORL,CLE,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.5,2.5,3.75,16.75,0.5,2.5,2.75,0.2
1628368,22500654,2026-01-25,SAS vs. NOP,SAS,35.0,12.0,7.0,2.0,0.0,0.0,4.0,4.0,8.0,3.0,5.0,13.75,8.0,3.0,32.75,1.5,4.5,11.5,0.3333333333333333
1628370,22500650,2026-01-25,SAC @ DET,,22.0,19.0,2.0,1.0,1.0,3.0,0.0,7.0,11.0,3.0,5.0,11.666666666666666,2.6666666666666665,2.6666666666666665,20.666666666666668,1.6666666666666667,5.0,11.666666666666666,0.33333333333333337
1628371,22500658,2026-01-26,ORL @ CLE,ORL,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.25,1.0,2.75,12.5,0.25,0.75,2.75,0.3333333333333333
1628374,22500670,2026-01-27,UTA vs. LAC,UTA,29.0,19.0,4.0,5.0,0.0,2.0,2.0,5.0,15.0,3.0,6.0,21.333333333333332,2.6666666666666665,6.333333333333333,33.666666666666664,2.0,7.0,17.333333333333332,0.2857142857142857
1628378,22500658,2026-01-26,CLE vs. ORL,,35.0,45.0,4.0,4.0,1.0,0.0,4.0,15.0,25.0,5.0,8.0,25.0,6.0,3.0,30.75,3.25,8.0,18.25,0.40625
1628379,22500659,2026-01-26,ATL vs. IND,ATL,23.0,13.0,3.0,2.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,8.25,1.0,2.25,20.25,1.25,2.0,5.0,0.625
1628380,22500437,2025-12-27,CHI vs. MIL,CHI,24.0,10.0,2.0,10.0,0.0,0.0,0.0,5.0,9.0,0.0,1.0,10.0,2.0,10.0,24.0,0.0,1.0,9.0,0.0
1628381,22500670,2026-01-27,LAC @ UTA,LAC,23.0,11.0,1.0,2.0,0.0,0.0,2.0,4.0,9.0,2.0,5.0,15.0,2.3333333333333335,5.666666666666667,27.333333333333332,2.3333333333333335,5.0,10.0,0.4666666666666667
1628384,22500665,2026-01-27,NYK vs. SAC,NYK,32.0,15.0,0.0,2.0,2.0,0.0,7.0,5.0,7.0,3.0,4.0,22.5,2.75,4.75,32.75,3.25,6.5,14.0,0.5
1628386,22500658,2026-01-26,CLE vs. ORL,CLE,33.0,9.0,1.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,19.5,2.75,9.25,27.5,0.0,0.25,12.25,0.0
1628389,22500655,2026-01-25,MIA @ PHX,MIA,32.0,22.0,1.0,7.0,2.0,1.0,1.0,6.0,16.0,2.0,6.0,20.8,2.8,10.2,32.6,2.2,6.4,15.6,0.34375
1628392,22500442,2025-12-28,OKC vs. PHI,OKC,20.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0,6.666666666666667,2.0,4.333333333333333,20.0,0.0,0.0,5.333333333333333,
1628396,22500641,2026-01-23,IND @ OKC,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1628398,22500666,2026-01-27,MIL @ PHI,MIL,32.0,17.0,8.0,8.0,2.0,0.0,2.0,6.0,12.0,2.0,4.0,17.333333333333332,5.333333333333333,7.333333333333333,33.666666666666664,1.3333333333333333,3.6666666666666665,14.333333333333334,0.36363636363636365
1628401,22500660,2026-01-26,BOS vs. POR,,34.0,18.0,4.0,4.0,2.0,0.0,9.0,7.0,14.0,2.0,4.0,13.25,6.0,4.25,32.5,1.75,4.75,12.0,0.3684210526315789
1628404,22500665,2026-01-27,NYK vs. SAC,NYK,31.0,7.0,4.0,9.0,3.0,0.0,4.0,2.0,6.0,0.0,2.0,17.25,4.25,6.0,33.0,2.0,4.25,11.25,0.47058823529411764
1628415,22500669,2026-01-27,PHX vs. BKN,PHX,34.0,26.0,3.0,3.0,1.0,1.0,3.0,9.0,15.0,2.0,5.0,28.75,2.75,4.5,31.5,3.0,5.5,17.75,0.5454545454545454
1628418,22500646,2026-01-24,CLE @ ORL,CLE,10.0,4.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,8.25,2.0,3.5,16.25,1.75,4.0,6.0,0.4375
1628420,22500242,2025-11-17,IND @ DET,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,
